city,longitude,latitude,contribution_diversity,contribution_num_people
Muenchen,11.583,48.15,-0.8639733004110076,0.1974324512154286
Namur (Namen),4.867,50.467,-0.6244465792650267,-0.2601193414559888
Nantes,-1.55,47.217,-0.5979330267056179,0.10680851309038916
Nijmegen,5.867,51.833,-0.638458888002902,-0.22276899632500347
Nimes,4.35,43.833,-0.5238901808925233,-0.15536745273243754
Norwich,1.303,52.628,-0.8476674874881371,0.34902555430247884
Nottingham,-1.159,52.968,-0.7169064001089511,0.39194969805237134
Novara,8.633,45.467,-0.6489546440813473,0.15016236977923564
Nuernberg,11.083,49.45,-0.7515163782958585,0.053040382895248143
Olomouc (Olmuetz),17.25,49.583,-0.7561820214586615,0.028974392741227564
Oxford,-1.254,51.754,-0.8003729042715987,0.3192865748075087
Padova (Padua),11.883,45.417,-0.8748203292896252,-0.09429442293668662
Palermo (Balarm),13.367,38.117,-0.5079428265838926,-0.1257514829652797
Palma,2.65,39.567,-0.6661107717277083,-0.26709260430467435
Paris,2.333,48.867,-0.6448900678782807,-0.14949734414906862
Parma,10.333,44.8,-0.824730721320683,-0.20386220580161168
Pavia,9.167,45.167,-0.5693958230446668,-0.2082575205304861
Perugia,12.367,43.133,-0.8148370280539462,0.45014602899353723
Piacenza,9.667,45.017,-0.7290508470511096,-0.26275530875505637
Pisa,10.383,43.717,-0.9004239264079786,0.13399600413210958
Pistoia,10.9,43.917,-0.9109140271127146,-0.014466511634701775
Poitiers,0.333,46.583,-0.6919912349789722,0.4658965505448799
Poznan (Posen),16.967,52.417,-0.8213451405088238,0.10125361468758687
"Praha (Prag, Prague)",14.467,50.083,-0.650363634879551,0.31798270908638043
Prato,11.1,43.883,-0.9368621605758081,0.09089273295486876
Provins,3.3,48.55,-0.7990492761391506,-0.16874458544006746
Quedlinburg,11.15,51.783,-0.7363789819750736,0.41071119715741716
Reading,-0.971,51.455,-0.8348421479789057,0.35729019747602503
Regensburg,12.1,49.017,-0.8513645921154387,0.14233005992556422
Reims,4.033,49.25,-0.8233768928424813,0.01769506041340068
Roma,12.483,41.9,-0.7575431124776829,0.36302922402344534
Rouen,1.083,49.433,-0.7556125863465714,-0.21979948571043892
Salerno,14.783,40.683,-0.5154932366985804,0.31668916388988466
Saluzzo,7.483,44.65,-0.5215723875988227,0.1619343494792285
Savona,8.5,44.283,-0.5531260756189116,-0.031112291236448802
"Sevilla(Seville, Ishbiliya)",-5.987,37.377,-0.7357187273214841,-0.4504282284379781
Shrewsbury,-2.748,52.707,-0.7692645528628714,0.49888534204213325
Siena,11.35,43.317,-0.8764000082844107,0.257989325241971
Soest,8.117,51.583,-0.6623897790965688,0.272487590693593
Spoleto,12.733,42.733,-0.7776266301435845,0.1471052022883648
St-Jean-d'Angely,-0.517,45.95,-0.7238575071712845,0.15720814894325535
Stralsund,13.1,54.3,-0.6488485059318599,0.26659604715721286
Strasbourg (Strassburg),7.75,48.583,-0.7679941125583837,0.49165984789255696
Stuttgart,9.183,48.767,-0.7746550189820326,0.0694626913086959
Toledo,-4.017,39.867,-0.6377565347627472,-0.28646185443020683
Torino,7.667,45.05,-0.5310085966903567,0.36519655553656827
Toulouse,1.433,43.6,-0.4834947344703406,0.001965935745054294
Tournai (Doornik),3.383,50.6,-0.6162415098420295,-0.24641013382644197
Tours,0.683,47.383,-0.7215072208499824,0.37905287591281667
Treviso,12.245,45.667,-0.9282665352477258,-0.17331139298391923
Trier,6.633,49.75,-0.6144367791175461,0.09861855090877912
Troyes,4.083,48.3,-0.7686513737771913,-0.04884656521513074
Ulm,10.05,48.567,-0.8903197643183102,0.24550727209055306
Valencia (Balansiya),-0.367,39.467,-0.681969310782745,-0.3165691670010538
Velletri,12.783,41.683,-0.7619542244834355,0.13565035310425105
Venezia,12.327,45.439,-0.8134352813927783,-0.07864701068329545
Vercelli,8.417,45.317,-0.5022293716665467,0.2352404702412017
Verona,11.0,45.45,-0.8172519220651527,-0.2221667604586721
Vigevano,8.85,45.317,-0.6679732639424225,0.08100031221829074
Villefranche-de-Rouergue,2.05,44.35,-0.5759658961467399,-0.09964092710016438
Viterbo,12.1,42.417,-0.8587929582863586,0.4075361218494057
Wien (Vienna),16.367,48.2,-0.6240593423076304,0.1454851064103749
Winchester,-1.308,51.062,-0.8581857061221763,0.39202080536605
Worcester,-2.212,52.197,-0.7682299643406242,0.6599520249027458
Worms,8.36,49.636,-0.7503324481241253,0.11406992109865745
Wuerzburg,9.949,49.797,-0.7950739922283798,0.20259496274016975
York,-1.093,53.956,-0.7701137269615004,0.47694427988742083
Zamora,-5.75,41.5,-0.7514188346083154,-0.03916217568012207
"Zaragoza (Sarakusta, Saragossa)",-0.883,41.633,-0.8123412411592833,-0.27755762987477406
Zuerich,8.55,47.367,-0.8565546034400419,0.5236352450449082
lorient,-3.37,47.75,-0.6194216241174807,-0.23423723689855763
s Gravenhage,4.3,52.083,-0.5815407421176387,-0.1567482737007976
