level_0,index,city,year,latitude,longitude,log_pop,num_people,diversity,capital,university,commune,bishop,fup,notability_index,city_id,year_id
1211,2093,Merida (Marida),1600,38.917,-6.333,1.791759469228055,6,2.079441541679836,0,0,1,0,8.7234,121.141619,376,4
1212,2094,Merida (Marida),1700,38.917,-6.333,1.6094379124341003,3,1.3862943611198906,0,0,1,0,8.4269,55.291816,376,5
1213,2095,Merida (Marida),1800,38.917,-6.333,1.6094379124341003,9,2.9444389791664403,0,0,1,0,14.509,188.02199,376,6
1214,2096,Messina,1200,38.183,15.567,3.4011973816621555,1,0.6931471805599453,0,0,0,1,3.3442,20.241356,377,0
1215,2097,Messina,1300,38.183,15.567,3.295836866004329,2,1.6094379124341005,0,0,0,1,4.9327,40.925196,377,1
1216,2098,Messina,1400,38.183,15.567,2.302585092994046,10,2.458311329683084,0,0,0,1,3.8093,209.933794,377,2
1217,2099,Messina,1500,38.183,15.567,3.2188758248682006,23,2.9713765399690217,0,0,0,1,5.4035,425.27169,377,3
1218,2100,Messina,1600,38.183,15.567,3.912023005428146,38,3.443075605997988,0,0,0,1,9.6951,694.508229,377,4
1219,2101,Messina,1700,38.183,15.567,3.6888794541139363,40,3.62007393922277,0,0,0,1,10.156,716.6293440000001,377,5
1220,2102,Messina,1800,38.183,15.567,3.5553480614894135,146,4.871515332023755,0,0,0,1,17.769,2571.009168,377,6
1221,2103,Metz,1400,49.133,6.167,3.2188758248682006,4,2.079441541679836,0,0,1,1,5.9817,88.72817599999999,378,2
1222,2104,Metz,1500,49.133,6.167,2.70805020110221,8,2.19722457733622,0,0,1,1,7.6372,151.664676,378,3
1223,2105,Metz,1600,49.133,6.167,2.995732273553991,33,3.7758559484121,0,0,1,1,11.352,634.176633,378,4
1224,2106,Metz,1700,49.133,6.167,2.9444389791664403,173,4.804048474643878,0,0,1,1,14.391,3119.321836,378,5
1225,2107,Metz,1800,49.133,6.167,3.828641396489095,263,5.526674225337892,0,0,1,1,23.353,4856.2176660000005,378,6
1226,2108,Milano,1200,45.467,9.2,4.0943445622221,15,3.0752205480543715,1,0,1,0,6.4754,291.046238,379,0
1227,2109,Milano,1300,45.467,9.2,4.605170185988092,46,4.1394251214779,1,0,1,0,10.951,931.821455,379,1
1228,2110,Milano,1400,45.467,9.2,4.499809670330265,75,4.426325239790886,1,0,0,0,7.93,1473.354972,379,2
1229,2111,Milano,1500,45.467,9.2,4.605170185988092,107,4.711253822370224,1,0,0,0,9.8388,2131.677308,379,3
1230,2112,Milano,1600,45.467,9.2,4.787491742782046,132,4.643491427121619,1,0,0,0,15.195,2522.444047,379,4
1231,2113,Milano,1700,45.467,9.2,4.8283137373023015,180,5.239319905028817,1,0,0,0,15.624,3510.9047716,379,5
1232,2114,Milano,1800,45.467,9.2,4.90527477843843,602,6.188165942030753,1,0,0,0,25.327,11280.772573,379,6
1233,2118,Miskolc,1800,48.1,20.783,2.6390573296152584,34,3.897924704692201,0,0,1,0,14.403,692.908827,380,6
1234,2120,Mistretta,1600,37.93,14.37,1.791759469228055,3,1.3862943611198906,0,0,0,0,11.678,53.894623,381,4
1235,2121,Mistretta,1700,37.93,14.37,1.9459101490553132,1,-0.0,0,0,0,0,11.838,15.044309,381,5
1236,2122,Mistretta,1800,37.93,14.37,2.3978952727983707,7,1.945910149055313,0,0,0,0,20.8,118.217033,381,6
1237,2123,Modena,1300,44.667,10.917,2.8903717578961645,9,2.458311329683084,0,1,1,1,12.702,166.972448,382,1
1238,2125,Modena,1500,44.667,10.917,2.8903717578961645,53,4.189082626572792,0,1,0,1,11.8,1059.146058,382,3
1239,2126,Modena,1600,44.667,10.917,3.044522437723423,63,4.4698982800939255,0,1,1,1,16.424,1321.647036,382,4
1240,2127,Modena,1700,44.667,10.917,2.9444389791664403,43,4.189654742026424,0,1,1,1,17.503,845.677526,382,5
1241,2128,Modena,1800,44.667,10.917,3.1354942159291497,129,4.942066592828351,0,1,1,1,25.943,2413.402184,382,6
1242,2129,Modica,1600,36.867,14.767,2.772588722239781,2,0.6931471805599453,0,0,0,0,10.375,43.683621,383,4
1243,2130,Modica,1700,36.867,14.767,2.9444389791664403,1,-0.0,0,0,0,0,11.595,16.807838,383,5
1244,2131,Modica,1800,36.867,14.767,2.833213344056216,8,2.079441541679836,0,0,0,0,21.999,135.188596,383,6
1245,2136,Molfetta,1800,41.2,16.6,2.4849066497880004,6,1.7478680974667573,0,0,0,1,23.559,100.845183,384,6
1246,2141,Mondovi,1600,44.383,7.817,2.3978952727983707,6,1.7917594692280547,0,0,0,1,12.791,118.281048,385,4
1247,2142,Mondovi,1700,44.383,7.817,2.302585092994046,14,2.995732273553991,0,0,0,1,14.804,259.666987,385,5
1248,2143,Mondovi,1800,44.383,7.817,2.302585092994046,50,3.976097893847536,0,0,0,1,24.688,910.297796,385,6
1249,2145,Monopoli,1500,40.95,17.3,1.6094379124341003,2,0.6931471805599453,0,0,0,1,5.7207,34.674969,386,3
1250,2146,Monopoli,1600,40.95,17.3,2.4849066497880004,4,1.3862943611198906,0,0,0,1,10.181,79.139243,386,4
1251,2147,Monopoli,1700,40.95,17.3,2.302585092994046,3,1.0986122886681096,0,0,0,1,10.206,56.455229,386,5
1252,2148,Monopoli,1800,40.95,17.3,2.70805020110221,11,2.639057329615258,0,0,0,1,18.777,193.851119,386,6
1253,2150,Mons (Bergen),1300,50.45,3.933,1.791759469228055,3,1.945910149055313,0,0,1,0,10.174,71.061165,387,1
1254,2151,Mons (Bergen),1400,50.45,3.933,2.1972245773362196,8,2.772588722239781,0,0,1,0,8.5537,205.344534,387,2
1255,2152,Mons (Bergen),1500,50.45,3.933,2.70805020110221,20,3.401197381662155,0,0,1,0,10.595,406.317276,387,3
1256,2153,Mons (Bergen),1600,50.45,3.933,2.772588722239781,26,3.4855871610538123,0,0,1,0,14.611,507.715384,387,4
1257,2154,Mons (Bergen),1700,50.45,3.933,2.6390573296152584,60,4.21851573455093,0,0,1,0,20.293,1048.799926,387,5
1258,2155,Mons (Bergen),1800,50.45,3.933,2.8903717578961645,238,5.079189063179824,0,0,1,0,28.903,4104.929473,387,6
1259,2157,Montauban,1600,44.017,1.35,2.6390573296152584,2,1.0986122886681096,0,0,1,1,9.725,61.529175,388,4
1260,2158,Montauban,1700,44.017,1.35,2.833213344056216,61,3.780234619765913,0,0,1,1,11.985,1058.73362,388,5
1261,2159,Montauban,1800,44.017,1.35,3.1780538303479458,82,3.6238405943527807,0,0,1,1,20.182,1456.017254,388,6
1262,2164,Montoro,1800,38.017,-4.383,2.5649493574615367,4,1.7917594692280547,0,0,0,0,17.667,78.646335,389,6
1263,2165,Montpellier,1200,43.6,3.883,2.5649493574615367,10,3.271689322323033,0,0,1,1,4.7897,239.632104,390,0
1264,2166,Montpellier,1300,43.6,3.883,3.5553480614894135,4,2.079441541679836,0,1,1,1,6.7868,76.003675,390,1
1265,2167,Montpellier,1400,43.6,3.883,2.833213344056216,1,-0.0,0,1,1,1,5.0573,17.234638,390,2
1266,2168,Montpellier,1500,43.6,3.883,1.791759469228055,6,2.079441541679836,0,1,1,1,6.5851,115.590134,390,3
1267,2169,Montpellier,1600,43.6,3.883,2.70805020110221,26,3.49650756146648,0,1,1,1,9.9343,516.977822,390,4
1268,2170,Montpellier,1700,43.6,3.883,3.1354942159291497,126,4.57832571582728,0,1,1,1,12.579,2300.392218,390,5
