city,year,log_pop,num_people_divide,diversity,diversity_le2,capital,university,commune,bishop,fup
Albi,1800,2.302585092994046,1.4350845252893227,2.6972997920434136,1.3356031336424654,0,0,0,0,20.276
Alcala-de-Henares,1500,2.0794415416798357,-2.0794415416798357,-0.0,-0.0,0,1,1,0,6.166
Alcala-de-Henares,1600,2.5649493574615367,-0.08004270767353637,3.2444926304072963,1.5454229031935938,0,1,1,0,11.141
Alcala-de-Henares,1700,0.0,2.70805020110221,3.014946880179594,1.3397942802855756,0,1,1,0,12.332
Alcala-de-Henares,1800,1.6094379124341003,-0.2231435513142097,1.7917594692280547,1.3862943611198906,0,1,1,0,19.865
Alcala-la-Real,1300,0.0,0.0,-0.0,-0.0,0,0,0,0,9.0075
Alcala-la-Real,1500,0.0,0.0,-0.0,-0.0,0,0,0,0,8.2695
Alcala-la-Real,1600,2.302585092994046,-1.6094379124341003,0.6931471805599453,-0.0,0,0,0,0,12.01
Alcala-la-Real,1700,1.6094379124341003,-1.6094379124341003,-0.0,-0.0,0,0,0,0,11.168
Alcala-la-Real,1800,2.1972245773362196,-1.5040773967762742,0.6931471805599453,0.6931471805599453,0,0,0,0,19.084
Alcamo,1600,2.0794415416798357,-1.3862943611198906,1.3862943611198906,0.6931471805599453,0,0,0,0,11.673
Alcamo,1700,2.0794415416798357,-2.0794415416798357,0.6931471805599453,-0.0,0,0,0,0,12.561
Alcamo,1800,2.5649493574615367,-1.8718021769015913,0.6931471805599453,0.6931471805599453,0,0,0,0,24.201
Alcazar de San Juan,1400,0.0,0.0,1.7917594692280547,-0.0,0,0,1,0,4.7503
Alcazar de San Juan,1500,2.995732273553991,-1.6094379124341003,2.302585092994045,1.039720770839918,0,0,1,0,5.9226
Alcazar de San Juan,1600,2.302585092994046,-0.2231435513142097,2.639057329615258,1.4941751382893085,0,0,1,0,9.907
Alcazar de San Juan,1700,1.9459101490553132,-0.15415067982725836,2.079441541679836,0.8675632284814612,0,0,1,0,9.6466
Alcazar de San Juan,1800,2.302585092994046,-1.2039728043259361,1.6094379124341005,0.6365141682948128,0,0,1,0,16.148
Alcoy,1300,0.0,0.0,1.3862943611198906,-0.0,0,0,0,0,5.5211
Alcoy,1500,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453,0,0,0,0,5.7079
Alcoy,1600,1.6094379124341003,-0.916290731874155,1.0986122886681096,0.6931471805599453,0,0,0,0,9.1503
Alcoy,1700,0.0,0.6931471805599453,1.3862943611198906,0.6931471805599453,0,0,0,0,9.465
Alcoy,1800,2.772588722239781,-0.9808292530117262,1.945910149055313,1.3296613488547582,0,0,0,0,17.399
Alencon,1200,0.0,0.6931471805599453,1.3862943611198906,-0.0,0,0,0,0,4.5237
Alencon,1400,0.0,0.0,-0.0,-0.0,0,0,1,0,5.4921
Alencon,1500,0.0,1.0986122886681098,1.6094379124341005,0.6365141682948128,0,0,0,0,7.2609
Alencon,1600,0.0,1.9459101490553132,2.302585092994045,1.277034259466139,0,0,0,0,10.869
Alencon,1700,2.302585092994046,0.5877866649021191,3.204777524132256,1.798105502624266,0,0,0,0,14.56
Alencon,1800,2.5649493574615367,1.6691571471357227,3.739208260386466,1.656829122943594,0,0,0,0,23.842
Alessandria,1200,2.995732273553991,-2.995732273553991,-0.0,-0.0,0,0,1,0,6.4404
Alessandria,1300,2.302585092994046,-1.6094379124341003,0.6931471805599453,0.6931471805599453,0,0,1,0,10.795
Alessandria,1400,0.0,1.0986122886681098,1.0986122886681096,1.0986122886681096,0,0,1,0,8.5238
Alessandria,1500,2.0794415416798357,-0.13353139262452263,2.079441541679836,1.351783994289646,0,0,0,0,9.9054
Alessandria,1600,2.6390573296152584,-0.15415067982725836,2.652587534720148,0.9830877585747856,0,0,0,0,14.592
Alessandria,1700,2.4849066497880004,-0.40546510810816444,2.079441541679836,1.3862943611198906,0,0,0,0,16.04
Alessandria,1800,3.4011973816621555,-0.7621400520468967,2.6156305770275505,1.4306853360872929,0,0,0,0,26.079
Alicante (Lakant),1600,2.3978952727983707,-1.7047480922384253,0.6931471805599453,-0.0,0,0,1,0,8.4644
Alicante (Lakant),1800,2.5649493574615367,-0.9555114450274363,1.6094379124341005,1.0549201679861442,0,0,1,0,17.034
Alkmaar,1500,1.6094379124341003,-0.916290731874155,1.0986122886681096,0.6931471805599453,0,0,1,0,8.3376
Alkmaar,1600,2.4849066497880004,-0.6931471805599453,1.945910149055313,1.0114042647073516,0,0,1,0,14.846
Alkmaar,1700,2.4849066497880004,0.8109302162163288,3.2427727493094363,1.505021790022586,0,0,1,0,22.449
Alkmaar,1800,0.0,1.791759469228055,1.7917594692280547,1.329661348854758,0,0,1,0,29.763
Almeria (Al-Mariyya),1200,2.995732273553991,-2.3025850929940455,0.6931471805599453,0.6931471805599453,0,0,0,0,3.7937
Almeria (Al-Mariyya),1400,3.2188758248682006,-3.2188758248682006,0.6931471805599453,-0.0,0,0,0,0,4.6885
Almeria (Al-Mariyya),1700,2.302585092994046,-1.6094379124341003,0.6931471805599453,0.6931471805599453,0,0,0,0,8.5253
Altamura,1800,2.8903717578961645,-1.791759469228055,1.3862943611198906,1.0986122886681096,0,0,0,1,20.786
