city,year,longitude,latitude,Influ_diversity,Influ_num_people_divide
Como,1200,9.083,45.783,30.61904397493639,7.2142893233068195
Cordoba (Kurtuba),1200,-4.767,37.883,5.447367316691729,2.0397544217682975
Cosenza,1200,16.25,39.3,12.321179554158777,2.5980030003575156
Crema,1200,9.683,45.367,32.10018762296749,4.277042955960472
Cremona,1200,10.033,45.117,17.768546870850503,3.3436357172144433
Delft,1200,4.367,52.0,31.84541064384296,3.0623922025465684
Derby,1200,-1.472,52.915,38.99445786656775,11.014673877548805
Dijon,1200,5.017,47.317,43.69766821474698,5.689841281774724
Douai,1200,3.067,50.367,39.17641194069754,3.5427313641238847
Dresden,1200,13.75,51.05,29.100298985624832,4.895410612243913
Drogheda,1200,-6.35,53.717,33.72904462400581,3.9363681823598715
Dublin,1200,-6.25,53.333,31.71858342604761,4.508930827066761
Duesseldorf,1200,6.767,51.217,41.748802932043944,5.191711780879729
Ecija (Istidja),1200,-5.083,37.533,24.642359108317564,2.039754421768297
Edinburgh,1200,-3.161,55.949,15.758085672892301,3.2206648764762584
Emden,1200,7.217,53.367,16.522427546543504,3.274342624417529
Enna (Kasr Yannik),1200,14.267,37.567,26.944314819189405,2.7697717937695825
Erfurt,1200,11.033,50.983,26.652820306275757,5.153063802362014
Evreux,1200,1.15,49.017,43.77211039975008,2.883959003026468
Faenza,1200,11.883,44.283,31.3764886605882,1.0169803165508102
